Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
3,go,1,0.4054651081081644,0.4054651081081644
4,go,2,0.4054651081081644,0.8109302162163288
5,go,4,0.4054651081081644,1.6218604324326575
6,go,3,0.4054651081081644,1.2163953243244932
7,go,8,0.4054651081081644,3.243720864865315
9,go,2,0.4054651081081644,0.8109302162163288
11,go,3,0.4054651081081644,1.2163953243244932
13,go,2,0.4054651081081644,0.8109302162163288
2,borderline,2,2.70805020110221,5.41610040220442
2,once,2,2.0149030205422647,4.029806041084529
7,once,1,2.0149030205422647,2.0149030205422647
2,long,2,1.0986122886681098,2.1972245773362196
5,long,1,1.0986122886681098,1.0986122886681098
7,long,3,1.0986122886681098,3.295836866004329
11,long,3,1.0986122886681098,3.295836866004329
14,long,1,1.0986122886681098,1.0986122886681098
2,days,1,2.70805020110221,2.70805020110221
3,tried,5,2.70805020110221,13.54025100551105
3,apart,3,1.6094379124341003,4.828313737302301
6,apart,1,1.6094379124341003,1.6094379124341003
8,apart,1,1.6094379124341003,1.6094379124341003
3,myself,1,1.6094379124341003,1.6094379124341003
11,myself,2,1.6094379124341003,3.2188758248682006
14,myself,1,1.6094379124341003,1.6094379124341003
4,caution,2,2.70805020110221,5.41610040220442
5,around,1,1.6094379124341003,1.6094379124341003
7,around,1,1.6094379124341003,1.6094379124341003
13,around,7,1.6094379124341003,11.266065387038703
5,superhuman,4,2.70805020110221,10.83220080440884
6,things,3,1.3217558399823195,3.9652675199469583
11,things,1,1.3217558399823195,1.3217558399823195
12,things,4,1.3217558399823195,5.287023359929278
13,things,3,1.3217558399823195,3.9652675199469583
6,this,4,0.5108256237659907,2.043302495063963
7,this,1,0.5108256237659907,0.5108256237659907
8,this,3,0.5108256237659907,1.5324768712979722
9,this,2,0.5108256237659907,1.0216512475319814
11,this,2,0.5108256237659907,1.0216512475319814
12,this,9,0.5108256237659907,4.597430613893916
13,this,2,0.5108256237659907,1.0216512475319814
14,this,1,0.5108256237659907,0.5108256237659907
15,this,4,0.5108256237659907,2.043302495063963
6,girls,1,2.70805020110221,2.70805020110221
6,news,1,2.70805020110221,2.70805020110221
6,sheltered,1,2.70805020110221,2.70805020110221
6,rest,1,2.70805020110221,2.70805020110221
